Source,Label,Target
urn:cts:latinLit:phi0474,dbpedia:birthPlace,wikidata:Q116440
urn:cts:latinLit:phi0474,dbpedia:deathPlace,wikidata:Q220
viaf:316014701,dc:creator,urn:cts:latinLit:phi0472
viaf:174707607,dc:creator,urn:cts:latinLit:phi0472
viaf:313680866,dc:creator,urn:cts:latinLit:phi0690
liber spectaculorum,dc:creator,urn:cts:latinLit:phi1294
urn:cts:latinLit:phi1294.phi002,dc:creator,urn:cts:latinLit:phi1294
unr:cts:latinLit:phi0448,dc:creator,viaf:316867971
viaf:316014701,dc:language,wikidata:Q370
urn:cts:latinLit:phi1017,dc:language,wikidata:Q397
urn:cts:latinLit:phi0690,dct:created,viaf:183081221
urn:cts:latinLit:phi0550,dct:isReferencedBy,Ovide
urn:cts:latinLit:phi0690,dct:isReferencedBy,viaf:181860567
urn:cts:latinLit:phi0550,dct:language,wikidata:Q370
urn:cts:latinLit:phi1017,dct:provenance,wikidata:Q2998020
urn:cts:latinLit:phi0474,dcterms:creator,viaf:186835608
urn:cts:latinLit:phi0690,foaf:age,50
pleiades:246247,foaf:based_near,geonames:3127047
urn:cts:latinLit:phi0660,foaf:based_near,pleiades:217016
urn:cts:latinLit:phi1294,foaf:based_near,pleiades:246247
urn:cts:latinLit:phi0893,foaf:based_near,pleiades:423025
urn:cts:latinLit:phi0550,foaf:based_near,pleiades:423025
urn:cts:latinLit:phi0660,foaf:based_near,pleiades:423025
urn:cts:latinLit:phi0134,foaf:based_near,pleiades:423025
urn:cts:latinLit:phi0119,foaf:based_near,pleiades:423025
urn:cts:latinLit:phi0690,foaf:based_near,viaf:137842517
urn:cts:latinLit:phi0472,foaf:based_near,viaf:152361066
urn:cts:latinLit:phi1017,foaf:based_near,wikidata:Q220
urn:cts:latinLit:phi0472,foaf:based_near,wikidata:Q373189
urn:cts:latinLit:phi1294,foaf:birthday,38
urn:cts:latinLit:phi0660,foaf:birthday,50 av.JC
urn:ctslatinLit:phi0838,foaf:birthday,Ie siècle avant JC
urn:cts:latinLit:phi0893,foaf:birthday,wikidata:Q17167
viaf:316014701,foaf:birthday,wikidata:Q17167
urn:cts:latinLit:phi1348,foaf:birthday,wikidata:Q2277
urn:cts:latinLit:phi1017,foaf:birthday,wikidata:Q25297
urn:cts:latinLit:phi0122,foaf:family_name,Maccius
urn:ctslatinLit:phi0840,foaf:familyName,Cornelius
urn:cts:latinLit:phi0474,foaf:familyName,Tullius
urn:cts:latinLit:phi0474,foaf:firstName,Marcus
urn:cts:latinLit:phi0137,foaf:firstName,Publius
urn:cts:latinLit:phi0550,foaf:firstName,Titus
urn:cts:latinLit:phi1017,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi0550,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi0140,foaf:gender,wikidata:Q6581097
urn:ctslatinLit:phi0837,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi0121,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi1294,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi0660,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi1353,foaf:gender,wikidata:Q6581097
urn:cts:latinLit:phi1352,foaf:interest,histoire
urn:cts:latinLit:phi0660,foaf:knows,Auguste
urn:cts:latinLit:phi0474,foaf:knows,dbr:Julius_Caesar
urn:cts:latinLit:phi0474,foaf:knows,dbr:Mark_Antony
urn:cts:latinLit:phi0660,foaf:knows,Horace
urn:cts:latinLit:phi0550,foaf:knows,Lucilia
urn:cts:latinLit:phi0135,foaf:knows,Scipion Émilien
urn:cts:latinLit:phi1294,foaf:knows,urn:cite:perseus:author.1209
urn:cts:latinLit:phi1294,foaf:knows,urn:cite:perseus:author.1318
urn:cts:latinLit:phi0690,foaf:knows,viaf:100218993
urn:cts:latinLit:phi0472,foaf:knows,viaf:100219060
urn:cts:latinLit:phi0893,foaf:knows,viaf:18013086
unr:cts:latinLit:phi0448,foaf:knows,viaf:18013086
urn:cts:latinLit:phi0690,foaf:knows,viaf:25977336
urn:cts:latinLit:phi0472,foaf:knows,viaf:286265178
urn:cts:latinLit:phi0893,foaf:knows,viaf:36906810
urn:cts:latinLit:phi0690,foaf:knows,viaf:6224297
urn:cts:latinLit:phi0472,foaf:knows,viaf:78769600
