;urn:cts:latinLit:phi0474;wikidata:Q116440;wikidata:Q220;viaf:316014701;urn:cts:latinLit:phi0472;viaf:174707607;viaf:313680866;urn:cts:latinLit:phi0690;liber spectaculorum;urn:cts:latinLit:phi1294;urn:cts:latinLit:phi1294.phi002;unr:cts:latinLit:phi0448;viaf:316867971;wikidata:Q370;urn:cts:latinLit:phi1017;wikidata:Q397;viaf:183081221;urn:cts:latinLit:phi0550;Ovide;viaf:181860567;wikidata:Q2998020;viaf:186835608;50;pleiades:246247;geonames:3127047;urn:cts:latinLit:phi0660;pleiades:217016;urn:cts:latinLit:phi0893;pleiades:423025;urn:cts:latinLit:phi0134;urn:cts:latinLit:phi0119;viaf:137842517;viaf:152361066;wikidata:Q373189;38;50 av.JC;urn:ctslatinLit:phi0838;Ie siècle avant JC;wikidata:Q17167;urn:cts:latinLit:phi1348;wikidata:Q2277;wikidata:Q25297;urn:cts:latinLit:phi0122;Maccius;urn:ctslatinLit:phi0840;Cornelius;Tullius;Marcus;urn:cts:latinLit:phi0137;Publius;Titus;wikidata:Q6581097;urn:cts:latinLit:phi0140;urn:ctslatinLit:phi0837;urn:cts:latinLit:phi0121;urn:cts:latinLit:phi1353;urn:cts:latinLit:phi1352;histoire;Auguste;dbr:Julius_Caesar;dbr:Mark_Antony;Horace;Lucilia;urn:cts:latinLit:phi0135;Scipion Émilien;urn:cite:perseus:author.1209;urn:cite:perseus:author.1318;viaf:100218993;viaf:100219060;viaf:18013086;viaf:25977336;viaf:286265178;viaf:36906810;viaf:6224297;viaf:78769600;viaf:8194433;wikidata:Q1413;wikidata:Q168707;wikidata:Q6197;urn:cts:latinLit:phi0138;Terentius;Elégies;urn:cts:latinLit:phi0125;Le soldat fanfaron;viaf:176199512;viaf:177408390;viaf:179441309;viaf:184275759;viaf:248145424558486830832;wikidata:Q3791552;viaf:175560230;wikidata:Q184742;wikidata:Q7198;viaf:88751090;wikidata:Q122166;wikidata:Q131306;augusta bilbilis;calatayud;Catulle;urn:ctslatinLit:phi0836;Celse;César;Lucrèce;martial;Plaute;Pline le jeune;Quintillen;Sénèque;Suetone;urn:cts:latinLit:phi1351;Tacite;Térence;Tibulle;viaf:100227522;Virgile;Cicéron;le Cicéron de la médecine;wikidata:Q49757;wikidata:Q37484;urn:cts:latinLit:phi0120;Amphitryon;De Arte medica;urn:cts:latinLit:phi0142;L’Heautontimoroumenos;wikidata:Q3782570;wikidata:Q4964182;urn:cts:latinLit:phi0139;Afer;urn:cts:latinLit:phi0141;Théâtre;agriculture, art militaire, médecine;épicurisme;poetry;wikidata:Q14373;wikidata:Q18536349;wikidata:Q48235;pleaides:3169070;foaf:person;urn:cts:latinLit:phi0123;-254;-100;urn:cts:latinLit:phi1354;58;pleaides:305090;Gabies;urn:cts:latinLit:phi1356;Gaule Narbonnaise;urn:cts:latinLit:phi0136;pleiades:314921;pleiades:413306;urn:ctslatinLit:phi0839;Vérone;3 janvier 106 av. J.C.;-184;urn:cts:latinLit:phi1355;120;urn:ctslatinLit:phi0841;Ie siècle après JC;urn:cts:latinLit:phi1357;Empire romain;pleiades:445545537;urn:ctslatinLit:phi0842;polygraphe;urn:cts:latinLit:phi1360;urn:cts:latinLit:phi1359;historien;Rome Antique;urn:cts:latinLit:phi0124;auteur comique;viaf:67910474;Suetonius Laetus;urn:cts:latinLit:phi1358;Julia Agricola;wikidata:Q1427;viaf:293152251
urn:cts:latinLit:phi0474;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wikidata:Q116440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wikidata:Q220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
viaf:316014701;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urn:cts:latinLit:phi0472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
viaf:174707607;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
viaf:313680866;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urn:cts:latinLit:phi0690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liber spectaculorum;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urn:cts:latinLit:phi1294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
