Source	Label	Target
http://viaf.org/viaf/305991465	dc:creator	http://viaf.org/viaf/8099277
http://viaf.org/viaf/100226923	schema:birthPlace	http://pleiades.stoa.org/places/981537
http://viaf.org/viaf/106388020	foaf:birthday	-94
viaf.org/viaf/78769600	pschema:hasOccupation	http://www.wikidata.org/wiki/Q4964182
http://viaf.org/viaf/286265178	wikidataProp:P1196	http://www.wikidata.org/wiki/Q149086
http://viaf.org/viaf/66462281	foaf:publications	http://viaf.org/viaf/176788865/
http://viaf.org/viaf/176199512	dct:creator	http://viaf.org/viaf/106388020
http://viaf.org/viaf/88342447	foaf:Group	http://www.wikidata.org/wiki/Q122166
http://viaf.org/viaf/100219060	foaf:name	Cornelius
http://viaf.org/viaf/100227522	schema:performerIn	http://www.wikidata.org/wiki/Q335330
http://www.wikidata.org/wiki/Q48235	foaf:topic_interest	http://viaf.org/viaf/90637919
http://viaf.org/viaf/100227522	schema:funder	http://viaf.org/viaf/36906810
http://viaf.org/viaf/66462384	schema:author	http://www.wikidata.org/wiki/Q1233598
http://viaf.org/viaf/83985148	schema:knows	http://www.wikidata.org/wiki/Q2098
http://viaf.org/viaf/18013086	schema:colleague	http://viaf.org/viaf/4911148947867154950004
http://viaf.org/viaf/298310776	schema:relatedTo	http://www.wikidata.org/wiki/Q1429412
http://viaf.org/viaf/176199512	schema:citation	http://viaf.org/viaf/177736136
http://viaf.org/viaf/12290061	pschema:hasOccupation	http://www.wikidata.org/wiki/Q40779
http://viaf.org/viaf/18013086	schema:children	http://viaf.org/viaf/316751293
http://viaf.org/viaf/100226923	schema:relatedTo	http://viaf.org/viaf/12290061
http://viaf.org/viaf/18013086	schema:deathPlace	http://pleiades.stoa.org/places/432981
viaf.org/viaf/78769600	schema:CreativeWork	http://www.wikidata.org/wiki/Q246289
http://viaf.org/viaf/90637919	foaf:publications	http://www.wikidata.org/wiki/Q3332727
http://viaf.org/viaf/10638270	schema:birthDate	61
http://viaf.org/viaf/8099277	dbpedia:birthDate	40
http://viaf.org/viaf/100227522	foaf:birthday	12/-0065
http://viaf.org/viaf/66462281	schema:birthDate	-254
http://viaf.org/viaf/10638270	schema:hasOccupation	http://www.wikidata.org/wiki/Q172907
http://viaf.org/viaf/8194433	schema:hasOccupation	http://www.wikidata.org/wiki/Q482
http://viaf.org/viaf/8099277	foaf:name	"Martial"
http://viaf.org/viaf/298310776	schema:knows	http://viaf.org/viaf/78769600
http://viaf.org/viaf/286265178	schema:birthDate	-100
http://viaf.org/viaf/100219060	schema:GenderType	http://schema.org/Male
http://viaf.org/viaf/88342447	dc:identifier	http://www.wikidata.org/wiki/Q7198
http://viaf.org/viaf/100227522	schema:affiliation	http://www.wikidata.org/wiki/Q122166
http://viaf.org/viaf/66462281	foaf:publications	http://viaf.org/viaf/177333620/
http://viaf.org/viaf/180555667	dc:identifier	http://viaf.org/viaf/8099277
http://viaf.org/viaf/104162705	schema:deathPlace	http://pleiades.stoa.org/places/423025
http://viaf.org/viaf/90637919	relationship:siblingOf	http://www.wikidata.org/wiki/Q452194
http://viaf.org/viaf/83985148	schema:author	http://www.wikidata.org/wiki/Q2707099
http://viaf.org/viaf/66462281	schema:birthPlace	http://pleiades.stoa.org/places/413306
http://viaf.org/viaf/286265178	wikidataProp:P25	http://www.wikidata.org/wiki/Q232725
http://viaf.org/viaf/83985148	pschema:hasOccupation	http://www.wikidata.org/wiki/Q49757
http://viaf.org/viaf/286265178	wikidataProp:P410	http://www.wikidata.org/wiki/Q83460
viaf.org/viaf/78769600	schema:deathDate	7/12/-43
http://viaf.org/viaf/10638270	schema:birthPlace	http://pleiades.stoa.org/places/383627
