Source	Label	Target
https://viaf.org/viaf/100226923	xmlns.com/foaf/0.1/name	Tacite	fre
https://viaf.org/viaf/100226923	xmlns.com/foaf/0.1/name	Publius	Cornelius	Tacitus	lat
https://viaf.org/viaf/100226923	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q201788	
https://viaf.org/viaf/100226923	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q15686806	
https://viaf.org/viaf/100226923	http://schema.org/birthPlace	https://pleiades.stoa.org/places/981537	
https://viaf.org/viaf/100226923	http://schema.org/birthDate	58	
https://viaf.org/viaf/100226923	http://schema.org/deathDate	120	
https://viaf.org/viaf/100226923	http://schema.org/author	https://viaf.org/viaf/174131919	
https://viaf.org/viaf/100226923	http://schema.org/author	https://viaf.org/viaf/306068107	
https://viaf.org/viaf/100226923	http://schema.org/relatedTo	https://viaf.org/viaf/12290061	
https://viaf.org/viaf/96539514	http://schema.org/sponsor	https://viaf.org/viaf/100226923	
https://viaf.org/viaf/12290061	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q40779	
https://viaf.org/viaf/294047250	http://schema.org/about	https://viaf.org/viaf/12290061	
https://viaf.org/viaf/100226923	http://schema.org/follows	https://viaf.org/viaf/104162705	
https://viaf.org/viaf/100226923	http://schema.org/follows	https://viaf.org/viaf/99942145	
https://viaf.org/viaf/100226923	http://schema.org/follows	https://viaf.org/viaf/78769600	
https://viaf.org/viaf/100226923	http://schema.org/about	https://www.wikidata.org/wiki/Q48235	
https://www.wikidata.org/wiki/Q2293346	http://schema.org/description	https://viaf.org/viaf/100226923	
https://viaf.org/viaf/100226923	http://schema.org/member	https://www.wikidata.org/wiki/Q303593	
https://viaf.org/viaf/100226923	http://schema.org/winner	https://www.wikidata.org/wiki/Q2282528	
https://viaf.org/viaf/100226923	http://schema.org/member	https://www.wikidata.org/wiki/Q122166	
https://viaf.org/viaf/18013086	http://xmlns.com/foaf/0.1/name	Caius	Octavius	lat
https://viaf.org/viaf/18013086	http://schema.org/birthDate	23/09/-63	
https://viaf.org/viaf/18013086	http://schema.org/deathDate	08/19/14	
https://viaf.org/viaf/18013086	http://schema.org/birthPlace	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/18013086	http://schema.org/deathPlace	https://pleiades.stoa.org/places/432981	
https://viaf.org/viaf/18013086	http://schema.org/parent	https://www.wikidata.org/wiki/Q1048	
https://viaf.org/viaf/18013086	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q83204	
https://viaf.org/viaf/18013086	http://schema.org/colleague	https://viaf.org/viaf/11492581	
https://viaf.org/viaf/18013086	http://schema.org/colleague	https://viaf.org/viaf/4911148947867154950004	
https://viaf.org/viaf/18013086	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q725434	
https://viaf.org/viaf/18013086	http://schema.org/jobTitle	Princeps	civitatis	lat
https://viaf.org/viaf/18013086	http://schema.org/children	https://viaf.org/viaf/89600176	
https://viaf.org/viaf/18013086	http://schema.org/nationality	https://pleiades.stoa.org/places/837078212	
https://viaf.org/viaf/18013086	http://schema.org/children	https://viaf.org/viaf/58081943	
https://viaf.org/viaf/18013086	http://schema.org/children	https://viaf.org/viaf/56580498	
https://viaf.org/viaf/18013086	http://schema.org/children	https://viaf.org/viaf/316751293	
https://pleiades.stoa.org/places/423025	http://dbpedia.org/ontology/politicalLeader	https://viaf.org/viaf/18013086	
https://viaf.org/viaf/18013086	http://dbpedia.org/ontology/residence	https://pleiades.stoa.org/places/971691208	
https://viaf.org/viaf/18013086	http://dbpedia.org/ontology/placeOfBurial	https://pleiades.stoa.org/places/422863	
https://viaf.org/viaf/18013086	http://purl.org/dc/elements/1.1/identifier	urn:cts:latinLit:phi1221	
https://viaf.org/viaf/100227522	http://xmlns.com/foaf/0.1/name	Horace	fre
https://viaf.org/viaf/100227522	http://xmlns.com/foaf/0.1/birthday	12/-0065	
